category_id,title,product_code,qty,price,description,image,image1,image2,image3
14,BA0377,BA0377,1,95040,BANGLE 1421RD=29.30 18KW_60.00G,/BA/BA0377/BA0377-1[PNG1].png,/BA/BA0377/BA0377-1[PNG1].png,/BA/BA0377/BA0377-2[PNG].png,/BA/BA0377/BA0377-3[PNG].png
14,BA0378,BA0378,1,61248,BANGLE 1043RD=16.62 1CEN=0.23 18KR_88.00G,/BA/BA0378/BA0378-1[PNG1].png,/BA/BA0378/BA0378-1[PNG1].png,/BA/BA0378/BA0378-2[PNG].png,/BA/BA0378/BA0378-3[PNG].png
14,BA0380,BA0380,1,34320,BANGLE 392RD=10.40 18KR_61.00G,/BA/BA0380/BA0380-1[PNG1].png,/BA/BA0380/BA0380-1[PNG1].png,/BA/BA0380/BA0380-2[PNG].png,/BA/BA0380/BA0380-3[PNG].png
14,BA0381,BA0381,1,58080,BANGLE 1640RD=27.75 18KW_47.00G,/BA/BA0381/BA0381-1[PNG1].png,/BA/BA0381/BA0381-1[PNG1].png,/BA/BA0381/BA0381-2[PNG].png,/BA/BA0381/BA0381-3[PNG].png
14,BA0382,BA0382,1,39600,BANGLE 1187RD=15.65 18KW_58.50G,/BA/BA0382/BA0382-1[PNG1].png,/BA/BA0382/BA0382-1[PNG1].png,/BA/BA0382/BA0382-2[PNG].png,/BA/BA0382/BA0382-3[PNG].png
14,BA0383,BA0383,1,31152,BANGLE 1187RD=16.25 18KW_58.50G,/BA/BA0383/BA0383-1[PNG1].png,/BA/BA0383/BA0383-1[PNG1].png,/BA/BA0383/BA0383-2[PNG].png,/BA/BA0383/BA0383-3[PNG].png
19,BA0385,BA0385,1,25872,BANGLE 661RD=6.80 507RUB=9.80 18KW_68.50G,/BA/BA0385/BA0385-1[PNG1].png,/BA/BA0385/BA0385-1[PNG1].png,/BA/BA0385/BA0385-2[PNG].png,/BA/BA0385/BA0385-3[PNG].png
21,BA0386,BA0386,1,25872,BANGLE 661RD=6.80 507SAP=9.80 18KW_68.50G,/BA/BA0386/BA0386-1[PNG1].png,/BA/BA0386/BA0386-1[PNG1].png,/BA/BA0386/BA0386-2[PNG].png,/BA/BA0386/BA0386-3[PNG].png
14,BA0387,BA0387,1,47520,BANGLE 392RD=10.25 18KY_58.50G,/BA/BA0387/BA0387-1[PNG1].png,/BA/BA0387/BA0387-1[PNG1].png,/BA/BA0387/BA0387-2[PNG].png,/BA/BA0387/BA0387-3[PNG].png
21,BA0388,BA0388,1,19245.6,BANGLE 421RD=3.05 225SAP=11.05 18KW_50.50G,/BA/BA0388/BA0388-1[PNG1].png,/BA/BA0388/BA0388-1[PNG1].png,/BA/BA0388/BA0388-2[PNG].png,/BA/BA0388/BA0388-3[PNG].png
14,BA0390,BA0390,1,36960,BANGLE 508RD=13.25 18KY_99.50G,/BA/BA0390/BA0390-1[PNG1].png,/BA/BA0390/BA0390-1[PNG1].png,/BA/BA0390/BA0390-2[PNG].png,/BA/BA0390/BA0390-3[PNG].png
14,BA0391,BA0391,1,63360,BANGLE 508RD=13.25 18KW_99.50G,/BA/BA0391/BA0391-1[PNG1].png,/BA/BA0391/BA0391-1[PNG1].png,/BA/BA0391/BA0391-2[PNG].png,/BA/BA0391/BA0391-3[PNG].png
14,BA0392,BA0391,1,58080,BANGLE 508RD=13.25 18KR_99.50G,/BA/BA0391/BA0391-1[PNG1].png,/BA/BA0391/BA0391-1[PNG1].png,/BA/BA0391/BA0391-2[PNG].png,/BA/BA0391/BA0391-3[PNG].png
14,BA0393,BA0393,1,12144,BANGLE 353RD=2.85 18KW_40.50G,/BA/BA0393/BA0393-1[PNG1].png,/BA/BA0393/BA0393-1[PNG1].png,/BA/BA0393/BA0393-2[PNG].png,/BA/BA0393/BA0393-3[PNG].png
14,BA0394,BA0394,1,39774.24,BANGLE 2026RD=22.95 18KR_59.50G,/BA/BA0394/BA0394-1[PNG1].png,/BA/BA0394/BA0394-1[PNG1].png,/BA/BA0394/BA0394-2[PNG].png,/BA/BA0394/BA0394-3[PNG].png
14,BA0395,BA0395,1,5702.4,BANGLE 139RD=3.15 18KW_13.00G,/BA/BA0395/BA0395-1[PNG1].png,/BA/BA0395/BA0395-1[PNG1].png,/BA/BA0395/BA0395-2[PNG].png,/BA/BA0395/BA0395-3[PNG].png
14,BA0396,BA0396,1,26928,BANGLE 762RD=9.40 18KR_29.50G,/BA/BA0396/BA0396-1[PNG1].png,/BA/BA0396/BA0396-1[PNG1].png,/BA/BA0396/BA0396-2[PNG].png,/BA/BA0396/BA0396-3[PNG].png
14,BA0397,BA0397,1,33528,BANGLE 501RD=5.60 18KW_67.00G,/BA/BA0397/BA0397-1[PNG1].png,/BA/BA0397/BA0397-1[PNG1].png,/BA/BA0397/BA0397-2[PNG].png,/BA/BA0397/BA0397-3[PNG].png
14,BA0398,BA0398,1,25344,BANGLE 762RD=9.50 18KY_31.50G,/BA/BA0398/BA0398-1[PNG1].png,/BA/BA0398/BA0398-1[PNG1].png,/BA/BA0398/BA0398-2[PNG].png,/BA/BA0398/BA0398-3[PNG].png
14,BA0399,BA0399,1,29040,BANGLE 796RD=9.50 18KW_37.50G,/BA/BA0399/BA0399-1[PNG1].png,/BA/BA0399/BA0399-1[PNG1].png,/BA/BA0399/BA0399-2[PNG].png,/BA/BA0399/BA0399-3[PNG].png
14,BA0400,BA0400,1,22123.2,BANGLE 392RD=11.30 18KW_61.00G,/BA/BA0400/BA0400-1[PNG1].png,/BA/BA0400/BA0400-1[PNG1].png,/BA/BA0400/BA0400-2[PNG].png,/BA/BA0400/BA0400-3[PNG].png
14,BA0401,BA0401,1,18216,BANGLE 501RD=6.00 18KR_67.00G,/BA/BA0401/BA0401-1[PNG1].png,/BA/BA0401/BA0401-1[PNG1].png,/BA/BA0401/BA0401-2[PNG].png,/BA/BA0401/BA0401-3[PNG].png
14,BA0402,BA0402,1,10824,BANGLE 353RD=3.05 18KR_40.50G,/BA/BA0402/BA0402-1[PNG1].png,/BA/BA0402/BA0402-1[PNG1].png,/BA/BA0402/BA0402-2[PNG].png,/BA/BA0402/BA0402-3[PNG].png
14,BA0403,BA0403,1,80187.36,BANGLE 1901RD=40.65 18KW_71.50G,/BA/BA0403/BA0403-1[PNG1].png,/BA/BA0403/BA0403-1[PNG1].png,/BA/BA0403/BA0403-2[PNG].png,/BA/BA0403/BA0403-3[PNG].png
14,BA0404,BA0404,1,55440,BANGLE 1371RD=28.35 18KW_55.00G,/BA/BA0404/BA0404-1[PNG1].png,/BA/BA0404/BA0404-1[PNG1].png,/BA/BA0404/BA0404-2[PNG].png,/BA/BA0404/BA0404-3[PNG].png
14,BA0405,BA0405,1,55440,BANGLE 1055RD=11.20 18KR_54.50G,/BA/BA0405/BA0405-1[PNG1].png,/BA/BA0405/BA0405-1[PNG1].png,/BA/BA0405/BA0405-2[PNG].png,/BA/BA0405/BA0405-3[PNG].png
14,BA0406,BA0406,1,11510.4,161RD=1.90 124BQ=1.60 14KY_37.00G,/BA/BA0406/BA0406-1[PNG1].png,/BA/BA0406/BA0406-1[PNG1].png,/BA/BA0406/BA0406-2[PNG].png,/BA/BA0406/BA0406-3[PNG].png
18,BA0407,BA0407,1,39600,214RD=3.84 825BLK=11.81 18KW_65.58G,/BA/BA0407/BA0407-1[PNG1].png,/BA/BA0407/BA0407-1[PNG1].png,/BA/BA0407/BA0407-2[PNG].png,/BA/BA0407/BA0407-3[PNG].png
18,BA0408,BA0408,1,37224,646RD=9.99 361BLK=7.00 18KW_59.10G,/BA/BA0408/BA0408-1[PNG1].png,/BA/BA0408/BA0408-1[PNG1].png,/BA/BA0408/BA0408-2[PNG].png,/BA/BA0408/BA0408-3[PNG].png
14,BA0409,BA0409,1,24816,BANGLE 727RD=8.90 18KW_36.50G,/BA/BA0409/BA0409-1[PNG1].png,/BA/BA0409/BA0409-1[PNG1].png,/BA/BA0409/BA0409-2[PNG].png,/BA/BA0409/BA0409-3[PNG].png
